Abakaliki,(5.8163,7.6169,6.8163,8.6169)
Abidjan,(4.8453,-4.5268,5.8453,-3.5268)
Abomey-Calavi,(5.9485,1.8557,6.9485,2.8557)
Acarigua-Aruare,(9.0545,-69.6956,10.0545,-68.6956)
Agartala,(23.3364,90.775,24.3364,91.775)
Agra,(26.6833,77.5167,27.6833,78.5167)
Ahmadabad,(22.5333,72.1167,23.5333,73.1167)
Al-Iskandariyah (Alexandria),(30.6925,29.4046,31.6925,30.4046)
Al-Khartum (Khartoum),(15.0518,32.0324,16.0518,33.0324)
Al-Mansurah,(30.5364,30.8807,31.5364,31.8807)
Al-Mawsil (Mosul),(35.835,42.6189,36.835,43.6189)
Al-Qahirah (Cairo),(29.5392,30.7394,30.5392,31.7394)
Al-Raqqa,(35.45,38.5167,36.45,39.5167)
Allentown-Bethlehem,(40.1091,-75.976,41.1091,-74.976)
Alor Star,(5.6167,99.8667,6.6167,100.8667)
Amara,(31.3344,46.6524,32.3344,47.6524)
Angeles City,(14.65,120.0833,15.65,121.0833)
Ankara,(39.4199,32.3543,40.4199,33.3543)
Ann Arbor,(41.7776,-84.2409,42.7776,-83.2409)
Anning,(24.4211,101.9784,25.4211,102.9784)
Antananarivo,(-19.4137,47.0361,-18.4137,48.0361)
Antofagasta,(-24.15,-70.9,-23.15,-69.9)
Aracaju,(-11.4111,-37.5717,-10.4111,-36.5717)
Arrah,(25.0631,84.1714,26.0631,85.1714)
Asahikawa,(43.2678,141.8703,44.2678,142.8703)
Asuncion,(-25.8007,-58.1359,-24.8007,-57.1359)
Asyut,(26.681,30.6837,27.681,31.6837)
Austin,(29.77,-98.24,30.77,-97.24)
Bahia Blanca,(-39.2196,-62.7724,-38.2196,-61.7724)
Baicheng,(45.1183,122.3418,46.1183,123.3418)
Bamako,(12.15,-8.5,13.15,-7.5)
Bangui,(3.8612,18.055,4.8612,19.055)
Barranquilla,(10.4639,-75.2964,11.4639,-74.2964)
Basel,(47.0584,7.0733,48.0584,8.0733)
Batman,(37.3874,40.6322,38.3874,41.6322)
Begusarai,(24.9167,85.6333,25.9167,86.6333)
Belom,(-1.9561,-48.979,-0.9561,-47.979)
Beograd ,(Belgrade),(44.3176,19.9633,45.3176,20.9633)
Berlin,(52.0244,12.9105,53.0244,13.9105)
Bhilwara,(24.85,74.1333,25.85,75.1333)
Bhubaneswar,(19.7333,85.3333,20.7333,86.3333)
Bihar Sharif,(24.6833,85.0167,25.6833,86.0167)
Bogota,(4.1097,-74.5818,5.1097,-73.5818)
Bratislava,(47.6482,16.6067,48.6482,17.6067)
Brest,(51.5976,23.1878,52.5976,24.1878)
Brisbane,(-27.9679,152.5281,-26.9679,153.5281)
Bruxelles-Brussel,(50.3467,3.8499,51.3467,4.8499)
Bucuresti ,(Bucharest),(43.9328,25.6043,44.9328,26.6043)
Buenos Aires,(-35.1051,-58.9004,-34.1051,-57.9004)
Bujumbura,(-3.8822,28.8644,-2.8822,29.8644)
Bur Said,(30.7565,31.7841,31.7565,32.7841)
Busan,(34.6028,128.5403,35.6028,129.5403)
